AccountNumber BranchId GroupIds
ACC04e6 251 3,14,24,29,21,15,54,28,46,2,17,31,8,30,35,13,12,4,20,6,34,33
ACC0468 306 44,3,35,19,6,47,26,32,48,45,46,43,39,18,49,22,33,28,25,15,27,53,9,52
ACC065 193 27,40,17,20,19,15,23,1,7,44,16,0,38,50,4,21,42,36,51,31,46,45,25
ACC06a2 367 13,33,35,44,6
ACC01a4 533 51,23,50,47
ACC03c0 189 31,28,38,54,14,22,44,7,49,50,4
ACC084 72 49,3,33,16,30,26,32,12,39
ACC04ae 321 4,17,29,45,44,18,39,11,13,9,22,51,27,1,50,47,28,42,2,8,16,34,31
ACC03c 167 31,6,34,7,14,16,2,12,29,41,23,5,28,51,38,46,35,50,22,3,44,30,49
ACC051 586 40,29,50,30
ACC02c1 258 34,39,29,26,22,33,9,35,20,10,3,12,11,52,2,8
ACC053f 375 39,36,52,7,2,0,54,9,16,20,4,34,49,1,35,30,3,31
ACC05a8 568 45,37,50,19,40,41,25,14,48,18,16,4,10,23
ACC03ac 489 20,35,37
ACC018d 103 42,30,13,19,17,48,18,14,31,5,16
ACC01e9 33 30,25,6,37,48,33,15
ACC0458 52 38,54,23,52,19,20,28,14,42,45,26,27,2,43,35
ACC0490 534 40,3,31,24,50,46,16,26,41,7,36,2,18,43,17,13,34,0,20,37
ACC0cd 63 49,17
ACC06b3 447 10,38,37,24,20,0,2,47,29,22,52,15,50,7,1,12,54,5
ACC065c 156 18,16,44,12,9,41,36,2,42,20,53,13,10,40,35,25,52
ACC06f7 200 52,31,37,11,16,26,41
ACC0235 452 19,29,14,4,20,27,3,46,23,47,39,17,38,13,30,36
ACC02a2 262 52,38,19,45,16,49,25,47
ACC056d 527 2,5,32
ACC0430 430 12,49,2,48,29,43,38,22,19,17
ACC07a3 442 36,44,40,23,16,47,17,37,32,39,28,41,35,12,38,45,6,26
ACC0442 120 28,27,49,11,23,26,51,13,14,33,0,1,3,47,24,36,34,9,19,41,5,40,48
ACC04fb 13 29,43,48,31,32
ACC05ed 75 5,2,31,17,29,13,32,46,10,4,15,37,27,8,42,33,51,30,24,53,34
ACC06c5 33 38,34,5,17,53,42,30,19,31,9,39,41,40,49,47,23,12,2,45,35
ACC03bb 385 36,0,49,52,13,33,9,4,39,48,40,26,54
ACC0425 220 37,47
ACC050a 578 2,52
ACC04d5 56 12,9,26,8,24,3,44,37,39,23,10,28
ACC0ab 121 32,30,12,0,29,52,35,8,5,2,23,26,49,3,37,4,17,53,14,47,15
ACC015a 598 36,44,12,31,4,20,10,40,16,19,14,26,1
ACC017e 161 22
ACC0683 410 24,8,22,54,19,25,12,53,44,34,15,11,29,33,3,30,5,48,35,2,27,31,23
ACC07b9 402 48,0,9,21,36,38,28,24,51,41,25,19,3,54,11
ACC03f 584 10,1,40,33,38,23,36,14,35,32
ACC02a5 47 45,49,54,28,14,35,27,47,8,9
ACC077e 456 54,35,6,8,51,23,1,46
ACC0733 402 50,46,17,45,34,22,25,0,30,47,13,39,44,29,20,11,8
ACC042a 337 24,44,23,47,39,5,41
